site_id,turbine,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
charrat_vs_adonis,Enercon E101 3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1
guetsch,Enercon E40 600,0,0,0,0,0,0,0,,1,1,1,1,1,,1,,1,1,1,1,1
guetsch,Enercon E44 900,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,,3,3,3,3,3
collonges,Enercon E70 2000,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
gries,Enercon E70 2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,,1
gries,Enercon E92 2350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
martigny,Enercon E82 2000,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1
st_brais,Enercon E82 2000,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,2,2,2,2
lutersarni,Enercon E82 2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1
peuchapatte,Enercon E82 2300,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,3,3,3,3,3
haldenstein,Vestas V112 3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1
mt_crosin,Vestas V112 3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
mt_crosin,Vestas V90 2000,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,8,,12,12,,12
